SrNo,MovieName,Rating,Polarity,Comments,,,,,,
1,2012,9,1,"I have to say this movie is very tense. The disasters in it make you think, will the world really end this way? It's one of those films where it gets your mind thinking about the world around us and how natural disasters can and will happen.
The reason I give 2012 a 9 is it is a film where it makes you think, it makes you think about being prepared for disasters great or small, basically it's a movie about reality but its fiction. Don't get me wrong it was a great movie, a real edge of your seat type of deal. For one the natural disasters in the film can happen anytime, for example, the yellow stone caldera is a real super volcano that scientists and geologist have been studying. They do say it will erupt again in the future, but they don't know when? as for the earthquakes those are real, the shifting of continents? I guess a major event like that can happen? It did millions of years ago.
I for one liked the action in it, I also liked the fact that there was humor in it to break the ice of all the seriousness and drama. All the cast does a wonderful job, Danny Glover was excellent playing the President of the United States. John Cusack was good, but I feel they should have put a more action packed actor in it as the dad who saves his family, Cusack does not have action in him, but then again like I said he did a good job in the movie.
My favorite character was the crazy guy that was obsessed with the Yellow stone caldera, he made me laugh so much. But then again he was completely crazy and lost his life because of it. I feel like Gordon played by Tom McCarthy should have had a better ending to his life, like to save someone. The movie also makes me think about this, in times of disaster and dire need, how will we act towards other human beings? If we were on three boats, trying to survive, would we open the gates and let others in? Or leave them? Makes you think about your compassion and humanity.
2012 is a thinking movie, it will not only make you jump out of your seat but it will get your mind moving about things. Makes you want to get emergency prepared as well. I give 2012 a 9.",,,,,,
2,2012,10,1,"2012 (2009) is a science fiction film disaster that was released on 13 November 2009. Telling about the mayan prediction that will predict the earth will experience devastating disaster on December 21, 2009. Jackson frustrated man rescues his family from the catastrophic catastrophe that destroyed the whole world. Very good disaster movie. Stunning CGI effects. Excellent acting ... Forget about the story .. Enjoy ",,,,,,
3,2012,3,0," I like John Cusack. He usually makes some pretty good movies. This movie is a dog. I know movies stretch the imagination, but this one wants you to remove you head and not even think. The physics are just WAAAAAAY to hard to believe. Earthquakes and volcanic eruptions are nowhere near as big as they are in this movie. And its just a stupid plot all together. ",,,,,,
4,2012,10,1,"LMAO!!!!! Are you some kind of boring 90 year old man????? This has to be the worst review I think I've read on here and I've read a few! You're moaning about Close Calls???? IT'S CALLED GOD DAMN TENSION IT WAS THE WHOLE FUN OF IT! It kept you in the edge of your seat! Every bloody film has CLOSE CALLS. James Bond is probably the ultimate one which abuses this to the MAX yet it is fantastic! If this was meant to be REALISTIC as you think it should have been. Then they wouldn't have made it off the bloody runway and then they'd be a completely blank film without the main characters.
Flippen hell you must be the worst person to see a film with. My opinion on this film wasn't the best of story lines, but the Director said himself in many interviews that he didn't want this film to be deadly serious, he just wanted to deliver entertainment and to just bring a bit of humour to the situation otherwise it'll be quite a depressing film. Might as well call it Shindlers List 2 or whatever.
I found it extremely entertaining and I got my money's worth out of it. There was a lot of character development but it isn't Batman you're watching here it's the end of the world lol.
I went thru nearly every emotion. Happy, Sad, Terrified, Anger. No other film has made me go through so many emotions and those films are supposed to be called ""Epic and Memorable"" ",,,,,,
5,2012,4,0,"When I thought about all the hoopla that surrounded the release of this film, I figured that the film would delve into the Mayan culture (which predicts the now-infamous world-ending date) and how people of the Earth would interpret in during that fateful year. Instead, I got a disaster film...nothing more.
Of course, if you a fan of the ""disaster film"" genre, then this may be one of the best films you see all year. The special effects are incredible, and action is non-stop, and a few scenes (like the crumbling of the Christ The Redeemer statue in Brazil) that are iconic. It compares favorable to other movies of its type, including ""Titanic"" and ""Cloverfield"".
Where this film falls short of those films, though, is that fact that its appeal ends at ""disaster"". The characters (at least the main ones) are almost blatantly ripped off from ""War of the Worlds"" (the Tom Cruise version) in terms of family dynamics, and by the end of the film you still don't find yourself really rooting for them with any heartfelt emotion. Also, what little semblance of a plot that does exist moves by way too quickly, with no time devoted to fleshing them out or making them truly crucial to the story. As I mentioned earlier, this movie sorely lacked any sort of discussion about why the Mayans predict the world to end in 2012, as well as more context on how the people of the ""Arks"" are chosen. What could have been a fascinating character study in humanity instead is completely glossed-over by explosions and destruction. Imagine The Dark Knight without The Joker, and you pretty much get the picture.
Thus, unless you are a huge fan of incredible special effects and prolonged action sequences, I would advise you to skip this effort, as it just doesn't bring any more to the table than that. ",,,,,,
6,2012,7,1,"Good movie but not the BEST.
The special effects were OK, some of them looked really fake.
I know it's an action movie and the principal cast are supposed to survive 'till the end of the movie but come on, were they supernatural or what? Only few scratches after all they went through. The bridges and buildings falling down and they passed in the car with no problem. It could be a little more realistic without all the drama: ""we survive to everything no matter what"".
I suffered a lot watching this movie, I was struggling with myself to not cry, it's very cruel and it's sad imagine all this could really happen, see how everyone dies, everything is destroy and it shows once again how the people in this world thinks: the money and being an ""important"" person can save your life, the rest of us does not matter.
It's also a wake up call to everyone who lives in this planet. ",,,,,,
7,2012,1,0,"A typical Roland Emmerich movie - I expect his next oeuvre will feature special effects only and dispense with characters, story line and actors altogether. They certainly were undetectable in this one! Dumb and dumber was a celebration of wit and character development compared with this tripe. It seems that computer technology is sufficient for producing a blockbuster nowadays - I'm sure it made many millions.
No spoiler alert as the ""plot""line and photos tell the whole story. What on earth were John Cusack and Woody Harrelson thinking? Bet they look back on this one cringing furiously...
I remember watching the original ""Titanic"" and ""Poseidon Adventure"" a long time ago and they both seem like in-depth documentaries in comparison - and that's saying a lot! LOL ",,,,,,
8,2012,6,1,"2012 really is a mixed bag. I liked the actors and their performances, including Amanda Peet, John Cusack, Woody Harrelson and more. The special effects are also pretty great, it should be, that's what the whole movie is supposed to thrive off of. Now where this film does fall kinda short is the writing. To be completely honest, the dialogue between the characters isn't all that great, just not too creative. Great effects and even good actors unfortunately cannot make up for weak writing. The movie did have some promise, but unfortunately, it didn't live up nearly as much to what it could've been. There are some interesting scenes involving prophecy and the telling of the end times in the beginning of the movie. Although I did think that Harrelson's performance was a bit too crazy and overly comical. So basically 2012 is a mediocre end of times disaster film with pretty good performances by good actors with less than average writing. 6/10 for 2012. ",,,,,,
9,2012,2,0,"I generally like Roland Emmerich's movies. They're not great but they're fun. I thought Stargate, Independence Day, and even Godzilla, were decent movies. But I didn't particularly like 2012. There's really only one reason I didn't like it but it's a big reason: the film gives you no reason for you to care more about the main characters than the billions of other people who die. Yes, tons of innocent people die in other disaster movies, like Independence Day and Dante's Peak (probably my favorite disaster movie), but the vast majority of the human race isn't killed in those. I didn't care about the family. I did care about Gordon (he was the one who flew them out of danger in the first place, after all) and he's crushed in the gears of the ark. In fact, quite a few of the people who are responsible, both directly and indirectly, for saving the family are killed, like Woody Harrelson's character, the Russian billionaire and pilot, and the astrophysicist.
And I think one disaster movie cliche that needs to die is how a dog is given more attention than all the people who are dying as if an animal's life is more important than a human's. Again, Independence Day and Dante's Peak are also guilty of this and I didn't like it in those movies either. ",,,,,,
10,2012,9,1,"I am surprised that at this moment, this film only got a 5.6 rating. I was going to rate it 8, but now I am rating it a 9.
I loved it its intense special effects, and its intense sound effects. After all, that is what big disaster movies are all about.
The storyline may not be very strong, but it is supposed to entertain us. And I was truly entertained for over two hours. This is a movie well done. There was a few dull moments, but overall, it is big.
I watched it on DVD, I should have watched it in a big theater with a big screen. The special effects were purely amazing! One problem with this movie is its lack of Chinese people. After all, the ships were supposed to be built in China. There was no Chinese leaders or many Chinese people shown in the movie. ",,,,,,
11,Avatar,9,1,"A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. When it comes to movies such as 'Titanic' or 'Avatar' i simply can't ignore the fact that those 2 films are kinda ""forgettable"" when you compare them with other much better James Cameron films such as 'The Terminator' or 'Terminator 2' or even better 'Aliens' but after seeing 'Avatar' once again i gotta say this film is actually pretty good. Avatar has some really good cgi although not 100% believable James Cameron created a nicely beautiful World with some good and interesting Characters inside it, the acting is also really good by mostly everyone especially Sam Worthington although i felt that Stephen Lang's character was getting annoying after a while. The aircrafts that they use threw out the movie do look like the HK's from T1 and T2 a bit if you think about it and those giant cool looking robots were kinda inspired by Matrix Revolutions (2003) and even that old Superman Cartoon from the 90's. Now where the film kinda struggles is when it comes to it's pacing because the whole 1st act and half of the 2nd act do get a bit slow and although it doesn't completely hurt the film it is still an issue but thankfully the movie picks up from the end of the 2nd half all the way threw the 3rd and personally best act of the movie where it basically turns into a giant war against Blue Aliens and Humans. Many people said that this film isn't quite original and that it mixed Dances with Wolves (1990) with Aliens (1986) and Smurfs and in a way it does in fact mix a lot of different films but that isn't such a big problem if you ask me. What bothers me is the fact that Cameron wants to bring back Sigourney Weaver's character who clearly died and even Lang's character that couldn't even possibly survive those 2 arrows in the chest and even if the film ends with Jake Sully opening his eyes and becoming a full 'Avatar' the movie still doesn't need so many sequels that James Cameron is planning and that is the problem with modern Jim Cameron he is focusing on stuff that don't make sense and especially 'Avatar' that doesn't need any actual sequel and i'm concerned that this might be Cameron's first big mistake but i hope that i'm wrong. As a romance and as a drama 'Avatar' is definitely 10 times better than 'Titanic' and the same goes for it's action but when you start comparing it with T1 and T2, Aliens, True Lies or even The Abyss the movie just looses it's magic against some of 80's and 90's best films. (9/10) ",,,,,,
12,Avatar,7,1,"There is no doubt that 'Avatar' is a groundbreaking piece of cinema in terms of visual effects and cinematography. From the stunning landscapes and scenery to the design and appearance of the characters, 'Avatar' really is a visual feast and a pleasure to watch. One of the most visually spectacular films of all time.
It is, however, let down by its shallow and uninspiring storyline - a storyline that almost feels secondary to the CGI and special effects and struggles to justify the near 3 hour running length. That said, the flaws in the plot don't really take anything away from the enjoyment of this film, which is still a pleasure to watch. ",,,,,,
13,Avatar,2,0,"Sure, this film's digital CGI is dazzling on the surface, but I found that Avatar was all flash and no substance. The overuse of computer effects just came off as cheap to me, though that largely depends on the preferences of the individual viewer, and I found it impossible to relate to the characters or even to like them. Certainly a lot of undeniable hard work went into Avatar, and to be fair I don't think it's absolutely loathsome or terrible - just terribly overrated, and I'm sick of people always raving about it to me. I watched it, didn't like it, never will, nor do I need persuasion, but I can definitely appreciate that many people, especially hardcore sci-fi and fantasy fans, enjoy it, and I'm fine with that. ",,,,,,
14,Avatar,9,1,"If the Story seems Derivative and Cliched, it is because Human Behavior, as Witnessed by History is Derivative and Cliched. In Other Words, it's Predictable.
James Cameron's ""Avatar"" is Wholly Predictable and is Dumbed Down for All to Watch and Learn, a Noble Effort considering that Not Much has been Learned from History Books and Intellectual Exercises ad nauseum.
This Engrossing Film is a Visual Treat. An Artistic Modernist Wet Dream full of Fanciful Flourishes of Day-Glo Psychedelica turning the Planet of Pandora into a Floral and Fauna Fantasyland with Inherent Illumination and Illustrious Imaginative Jungle Jive.
It's a Hoot. The ""Animals"", of Foot and Flight, are Familiar Unfamiliarities. A Cross between Earth's Prehistoric Past and Pandora's Pristine Gleam Untreated by Colonialist.
The ""Tree of Life"" for the Natives is a Tree-Huggers Heavenly Sent Icon. Awesome, Gargantuan, and according to Folklore (and as it turns out science), it is the Organic Operating System and Central Hub of Everything on the Planet.
Environmental Concerns and a Live and Let Live Philosophy are Elemental to the Sophomoric Script. The Black Hat/White Hat Characters are neither Complex nor do They Surprise. It's all just Magnificent Backdrop Eye-Candy and Dreamscape for another ""Us vs Them"".
The Movie Transports to a Realm where Humans have Traveled and Humans just do what Humans Do. This isn't the Stuff of High Intellect or PHd Thesis.
It is Storybook Adventure and while the Story is Certainly Adventurous and Captivating and quite a Roller Coaster Ride, the Detractors that Rail Against the Film's Dumb Dialog and Stereotypical People and Situations have a Point.
But the Movie's Point is as Sharp as an Arrow. Once Again, even a couple of Hundred Years in the Future, We as a Species are forever Predictable so even on another Planet We.......""Pave Paradise and Put Up a Parking Lot"". ",,,,,,
15,Avatar,1,0,"This movie was a complete shocker. The acting was so bad I could not stay with it. When acting is terrible it is tough to stay ""in the movie"". They really should have cast some more accomplished actors. The scenery was so terrible. It was just too fake and plastic looking for me to settle in and enjoy it.
The aspect that really got me was the predictable and boring story-line. It was so predictable that I considered switching it off numerous times. The only reason I watched the entire movie is because of the hype that it generated at the box office. Boring! ",,,,,,
16,Avatar,10,1,"This movie was more than just any other movie to me. It had amazing graphics with a beautiful planet an a huge story to it. As I was watching it I just could picture myself in the scenario. And after I watched it one night, I woke up the next morning thinking ""why is everything so dull now?"". I had just wished something like the world that is in the movie Avatar could be something in real life. Because i wake up every day after watching it thinking ""I wish I could be a part of that world.I wish it were real."" It gives me a great feeling, and every time I watch it I get goosebumps and chills. It is the best movie I have ever watched. ",,,,,,
17,Avatar,9,1,I very much enjoy watching films like this. Watching Avatar made me feel like i was on a trip to another world. The technique in this movie that made the world come together was phenomenal. From the makeup to the made up language to the physical world and the life in that world itself. I was surprised every time something new popped up. Even though there was so much to see in the movie i felt that there was still a whole world to be discovered. ,,,,,,
18,Avatar,7,1,"Review (1~5)
Content: Script 3 | Acting 3 | Cinematography 4 | Film Editing 4
Visual: Costume Design 5 | Makeup & Hairstyling 5 | Scenic Design 5 | Lighting 5 | Visual Effects 5
Sound: Score & Soundtracks 5 | Sound Editing & Mixing 5
Overall (1~10): 7 ",,,,,,
